Date,Start Date,End Date,Origin City,Origin Latitude,Origin Longitude,Destination City,Destination Latitude,Destination Longitude,Sender,Recipient,Notes
1 April 1681,-79895,-79895,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Dunbar, Alexander","Barclay, Robert",-
1 April 1681,-79895,-79895,Ratisbone,49.0118,12.0536,Rome,41.5753,12.2708,"Fleming, Abbot Placidus","Leslie, Don Gulielmo",-
1 April 1688,-77338,-77338,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Burnet, David","Innes, Lewis and Whyteford, Charles",-
1 April 1690,-76608,-76608,Rome,41.5753,12.2708,-,-,-,"Leslie, Father William Lewis","Irvine, John",-
1 August 1693,-75390,-75390,Rome,41.5753,12.2708,Rome,41.5753,12.2708,"Leslie, Father William Lewis","Leslie, Don Gulielmo",-
1 December 1679,-80382,-80382,Aberdeen,57.133333,-2.1,-,-,-,"Innes, John","Irvine, Francis",-
1 December 1693,-75268,-75268,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Don Gulielmo","Whyteford, Charles",-
1 February 1690,-76667,-76667,Dunkirk,51.05,2.366667,Rome,41.5753,12.2708,"Nicolson, Thomas","Leslie, Don Gulielmo",-
1 January 1678,-81081,-81081,Rome,41.5753,12.2708,Urbino,43.716667,12.633333,"Davidson, Father Joseph OP","Leslie, Don Gulielmo",-
1 January 1687,-77794,-77794,Paris,48.5109,2.2034,-,-,-,"Innes, Lewis","Dupp, Sir Thomas",-
1 January 1687,-77794,-77794,Ratisbone,49.0118,12.0536,Paris,48.5109,2.2034,"Fleming, Abbot Placidus","Whyteford, Charles",-
1 January 1688,-77429,-77429,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Leslie, Don Gulielmo","Innes, Lewis",-
1 January 1692,-75968,-75968,Rome,41.5753,12.2708,-,-,-,"Leslie, Walter Lorenzo",Thomson,-
1 January 1692,-75968,-75968,St Germain,46.912384,2.445217,Paris,48.5109,2.2034,"Innes, Lewis",Talon,-
1 July 1678,-80900,-80900,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Conne, Father Alexander","Leslie, Father William Lewis","Leslie, SJ"
1 July 1680,-80169,-80169,"Gordon Castle, alias Bogue",57.3723,-3.0514,Paris,48.5109,2.2034,"Gordon, George, Duke of Gordon/Marquess Huntly",St Clair,Gordon alias Bannockburn
1 July 1684,-78708,-78708,"Gordon Castle, alias Bogue",57.3723,-3.0514,Paris,48.5109,2.2034,"Innes, Lewis","Whyteford, Charles",-
1 July 1684,-78708,-78708,Scotland,56.4907,4.2026,Paris,48.5109,2.2034,"Irvine, John","Whyteford, Charles",-
1 July 1687,-77613,-77613,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Strachan, Robert Francis",Talon,-
1 July 1687,-77613,-77613,"Holyroodhouse, Edinburgh",55.573,3.0924,-,-,-,"Innes, Lewis",-,-
1 July 1692,-75786,-75786,Rome,41.5753,12.2708,Paris,48.5109,2.2034,"Innes, Walter","Whyteford, Charles",-
1 July 1697,-73960,-73960,Paris,48.5109,2.2034,Rome,41.5753,12.2708,"Adamson, George","Leslie, Don Gulielmo",-
1 June 1687,-77643,-77643,Edinburgh,55.95,-3.2,Paris,48.5109,2.2034,"Burnet, David","Whyteford, Charles",-
1 June 1694,-75086,-75086,Rome,41.5753,12.2708,St Germain,46.912384,2.445217,"Leslie, Don Gulielmo","Innes, Lewis",-
