PERSON,Date,LOCATION 1,Latitude,Longitude
"Abercromby, David",6 May 1679,Holland,51.366667,5.15
"Abercromby, Father Christian",15 August 1681,Scotland,56.4907,4.2026
"Abercromby, Father John Francis",22 April 1675,Pisa,43.716667,10.383333
"Abercromby, Father John Francis",17 April 1676,Pisa,43.716667,10.383333
"Abercromby, Father John Francis",16 November 1682,Pisa,43.716667,10.383333
"Abercromby, Father John Francis",10 May 1683,Pisa,43.716667,10.383333
"Abercromby, Father John Francis",27 December 1687,Livorno,43.55,10.316667
"Abercromby, Father John Francis",11 February 1692,Pisa,43.716667,10.383333
"Achane, Alexander",18 February 1689,Douai,50.2509,3.1121
Adamson,9 March 1691,Rome,41.5753,12.2708
Adamson,9 November 1696,Rome,41.5753,12.2708
"Adamson, George",15 September 1694,Rome,41.5753,12.2708
"Adamson, George",1 July 1697,Paris,48.5109,2.2034
"Adamson, George",8 August 1697,Paris,48.5109,2.2034
"Adamson, George",10 October 1699,Paris,48.5109,2.2034
"Adamson, John",3 February 1685,Florence,43.766667,11.25
"Adamson, John",17 February 1685,Florence,43.766667,11.25
"Adamson, John",9 March 1685,Florence,43.766667,11.25
"Adorni, Father Andrea",24 April 1678,Senigallia,-,-
"Anderson, Father James",22 July 1667,Madrid,40.408566,-3.69222
"Archangel, Father",29 May 1680,Subiaco,41.0509,13.0624
Arsan,1 January 1687,Ratisbone,49.0118,12.0536
Assembly of Priests,13 June 1688,"Gordon Castle, alias Bogue",57.3723,-3.0514
"Avener, John",26 April 1688,Edinburgh,55.95,-3.2
Balentine,12 September 1687,Scotland,56.4907,4.2026
"Bannerman, Robert",24 March 1678,Padua,45.24,11.5307
"Bannerman, Robert",22 April 1678,Padua,45.24,11.5307
"Bannerman, Robert",26 August 1678,Padua,45.24,11.5307
"Bannerman, Robert",12 November 1678,Padua,45.24,11.5307
"Bannerman, Robert",25 November 1678,Padua,45.24,11.5307
"Bannerman, Robert",22 December 1678,Padua,45.24,11.5307
"Bannerman, Robert",30 December 1678,Padua,45.24,11.5307
"Bannerman, Robert",22 July 1679,Venice,45.438611,12.326667
"Bannerman, Robert",17 January 1688,Venice,45.438611,12.326667
"Barberino, Cardinal Charles",19 June 1665,Rome,41.5753,12.2708
"Barberino, Cardinal Charles",29 June 1680,Rome,41.5753,12.2708
"Barberino, Cardinal Charles",12 December 1690,Rome,41.5753,12.2708
"Barclay, Robert",14 March 1670,Paris,48.5109,2.2034
"Barclay, Robert",24 July 1677,Paris,48.5109,2.2034
"Barclay, Robert",21 November 1677,Paris,48.5109,2.2034
"Barclay, Robert",9 December 1677,Paris,48.5109,2.2034
"Barclay, Robert",18 December 1677,Paris,48.5109,2.2034
"Barclay, Robert",9 February 1678,Paris,48.5109,2.2034
"Barclay, Robert",7 March 1678,Paris,48.5109,2.2034
"Barclay, Robert",16 March 1678,Paris,48.5109,2.2034
"Barclay, Robert",27 April 1678,Paris,48.5109,2.2034
"Barclay, Robert",4 MAy 1678,Pais,-,-
"Barclay, Robert",9 May 1678,Paris,48.5109,2.2034
"Barclay, Robert",16 May 1678,Paris,48.5109,2.2034
"Barclay, Robert",12 June 1678,Paris,48.5109,2.2034
"Barclay, Robert",13 June 1678,Paris,48.5109,2.2034
"Barclay, Robert",17 June 1678,Paris,48.5109,2.2034
"Barclay, Robert",22 June 1678,Paris,48.5109,2.2034
"Barclay, Robert",24 June 1678,Paris,48.5109,2.2034
"Barclay, Robert",17 July 1678,Paris,48.5109,2.2034
"Barclay, Robert",27 July 1678,Paris,48.5109,2.2034
"Barclay, Robert",7 August 1678,Paris,48.5109,2.2034
"Barclay, Robert",16 September 1678,Paris,48.5109,2.2034
"Barclay, Robert",15 October 1678,Paris,48.5109,2.2034
"Barclay, Robert",16 October 1678,Paris,48.5109,2.2034
"Barclay, Robert",18 October 1678,Paris,48.5109,2.2034
"Barclay, Robert",27 December 1678,Paris,48.5109,2.2034
"Barclay, Robert",8 February 1679,Paris,48.5109,2.2034
"Barclay, Robert",16 March 1679,Paris,48.5109,2.2034
"Barclay, Robert",7 April 1679,Paris,48.5109,2.2034
"Barclay, Robert",9 May 1679,Paris,48.5109,2.2034
"Barclay, Robert",19 May 1679,Paris,48.5109,2.2034
"Barclay, Robert",19 June 1679,Paris,48.5109,2.2034
"Barclay, Robert",14 July 1679,Paris,48.5109,2.2034
"Barclay, Robert",17 July 1679,Paris,48.5109,2.2034
"Barclay, Robert",9 August 1679,Paris,48.5109,2.2034
"Barclay, Robert",21 September 1679,Paris,48.5109,2.2034
"Barclay, Robert",2 October 1679,Paris,48.5109,2.2034
"Barclay, Robert",12 October 1679,Paris,48.5109,2.2034
"Barclay, Robert",20 October 1679,Paris,48.5109,2.2034
"Barclay, Robert",23 October 1679,Paris,48.5109,2.2034
"Barclay, Robert",24 October 1679,Paris,48.5109,2.2034
"Barclay, Robert",8 November 1679,Paris,48.5109,2.2034
"Barclay, Robert",5 January 1680,Paris,48.5109,2.2034
"Barclay, Robert",3 February 1680,Paris,48.5109,2.2034
"Barclay, Robert",10 February 1680,Paris,48.5109,2.2034
"Barclay, Robert",20 February 1680,Paris,48.5109,2.2034
"Barclay, Robert",5 April 1680,Paris,48.5109,2.2034
"Barclay, Robert",16 April 1680,Paris,48.5109,2.2034
"Barclay, Robert",19 April 1680,Paris,48.5109,2.2034
"Barclay, Robert",31 May 1680,Paris,48.5109,2.2034
"Barclay, Robert",9 June 1680,Paris,48.5109,2.2034
"Barclay, Robert",25 June 1680,Paris,48.5109,2.2034
"Barclay, Robert",16 July 1680,Paris,48.5109,2.2034
"Barclay, Robert",26 July 1680,Paris,48.5109,2.2034
"Barclay, Robert",4 August 1680,Paris,48.5109,2.2034
"Barclay, Robert",17 August 1680,Paris,48.5109,2.2034
"Barclay, Robert",8 October 1680,Paris,48.5109,2.2034
"Barclay, Robert",14 January 1681,Paris,48.5109,2.2034
"Barclay, Robert",5 February 1681,Paris,48.5109,2.2034
"Barclay, Robert",27 February 1681,Paris,48.5109,2.2034
"Barclay, Robert",11 March 1681,Paris,48.5109,2.2034
"Barclay, Robert",25 March 1681,Paris,48.5109,2.2034
"Barclay, Robert",1 April 1681,Paris,48.5109,2.2034
"Barclay, Robert",7 April 1681,Paris,48.5109,2.2034
"Barclay, Robert",9 April 1681,Paris,48.5109,2.2034
"Barclay, Robert",22 April 1681,Paris,48.5109,2.2034
"Barclay, Robert",27 April 1681,Paris,48.5109,2.2034
"Barclay, Robert",28 April 1681,Paris,48.5109,2.2034
"Barclay, Robert",2 June 1681,Paris,48.5109,2.2034
"Barclay, Robert",6 June 1681,Paris,48.5109,2.2034
"Barclay, Robert",17 June 1681,Paris,48.5109,2.2034
"Barclay, Robert",12 August 1681,Paris,48.5109,2.2034
"Barclay, Robert",16 October 1681,Paris,48.5109,2.2034
"Barclay, Robert",25 October 1681,Paris,48.5109,2.2034
"Barclay, Robert",26 October 1681,Paris,48.5109,2.2034
"Barclay, Robert",27 October 1681,Paris,48.5109,2.2034
"Barclay, Robert",20 November 1681,Paris,48.5109,2.2034
"Barclay, Robert",27 November 1681,Paris,48.5109,2.2034
"Barclay, Robert",6 December 1681,Paris,48.5109,2.2034
"Barclay, Robert",9 December 1681,Paris,48.5109,2.2034
"Barone de Paye, Monsieur le",24 December 1666,Vienna,48.13,16.2214
"Bartoli, Father Danielo",23 April 1669,Rome,41.5753,12.2708
"Beaufort, Charles",30 October 1683,Paris,48.5109,2.2034
Beldorney's son,16 October 1678,Aberdeen,57.133333,-2.1
"Betham, Dr. John",7 February 1692,Rotterdam,51.916667,4.5
"Betham, Dr. John",7 March 1692,Douai,50.2509,3.1121
"Bisset, Father Alexander",19 February 1660,Rome,41.5753,12.2708
"Bisset, Father Alexander",15 December 1669,Rome,41.5753,12.2708
"Bisset, Father Alexander",7 April 1687,London,51.514125,-0.093689
"Blackadder, Archibald",6 October 1681,Cadiz,36.515789,-6.279692
"Blackadder, Archibald",8 February 1683,Cadiz,36.515789,-6.279692
"Blackadder, John",26 July 1684,Cadi,-,-
"Blackadder, John",4 July 1689,Cadiz,36.515789,-6.279692
"Blackadder, John",18 July 1689,Cadiz,36.515789,-6.279692
"Brandt, Canon",6 March 1677,Rome,41.5753,12.2708
Bridgeford,19 September 1679,Scottish Highlands,57.3723,57.3723
"Brie, Monsieur",6 May 1689,Paris,48.5109,2.2034
"Brie, Monsieur",20 July 1689,Paris,48.5109,2.2034
Briott,26 October 1691,Paris,48.5109,2.2034
Brother Andrew,20 October 1677,Rome,41.5753,12.2708
"Brown, Charles",21 October 1679,Rome,41.5753,12.2708
"Brown, Father James",18 May 1698,Ratisbone,49.0118,12.0536
"Browne, James",11 April 1687,Edinburgh,55.95,-3.2
"Buchan, General Thomas",12 December 1689,Dublin,53.3330556,-6.2488889
"Buchan, General Thomas",22 December 1689,Dublin,53.3330556,-6.2488889
"Buchanan, George",15 June 1686,Leghorn,43.55,10.316667
"Buchanan, Patrick",27 October 1681,London,51.514125,-0.093689
"Buck, T",28 June 1665,Paris,48.5109,2.2034
"Burnet, David",18 January 1676,Edinburgh,55.95,-3.2
"Burnet, David",31 July 1676,Paris,48.5109,2.2034
"Burnet, David",25 April 1677,Paris,48.5109,2.2034
"Burnet, David",16 May 1677,Paris,48.5109,2.2034
"Burnet, David",3 July 1677,Paris,48.5109,2.2034
"Burnet, David",23 August 1677,Paris,48.5109,2.2034
"Burnet, David",9 September 1677,Paris,48.5109,2.2034
"Burnet, David",20 September 1677,Paris,48.5109,2.2034
"Burnet, David",14 October 1677,Paris,48.5109,2.2034
"Burnet, David",8 November 1677,Paris,48.5109,2.2034
"Burnet, David",13 November 1677,Paris,48.5109,2.2034
"Burnet, David",16 November 1677,Paris,48.5109,2.2034
"Burnet, David",2 January 1678,Paris,48.5109,2.2034
"Burnet, David",12 June 1678,Paris,48.5109,2.2034
"Burnet, David",27 July 1678,Paris,48.5109,2.2034
"Burnet, David",3 August 1678,Paris,48.5109,2.2034
"Burnet, David",9 October 1678,Paris,48.5109,2.2034
"Burnet, David",16 October 1678,Paris,48.5109,2.2034
"Burnet, David",18 October 1678,Paris,48.5109,2.2034
"Burnet, David",19 October 1678,Paris,48.5109,2.2034
"Burnet, David",22 October 1678,Paris,48.5109,2.2034
"Burnet, David",14 May 1679,Paris,48.5109,2.2034
"Burnet, David",12 June 1679,Paris,48.5109,2.2034
"Burnet, David",18 July 1679,Paris,48.5109,2.2034
"Burnet, David",24 July 1679,Paris,48.5109,2.2034
"Burnet, David",20 September 1679,Paris,48.5109,2.2034
"Burnet, David",2 October 1679,Paris,48.5109,2.2034
"Burnet, David",28 November 1679,Paris,48.5109,2.2034
"Burnet, David",14 December 1679,Paris,48.5109,2.2034
"Burnet, David",16 December 1679,Paris,48.5109,2.2034
"Burnet, David",19 March 1680,Paris,48.5109,2.2034
"Burnet, David",26 March 1680,Paris,48.5109,2.2034
"Burnet, David",28 March 1680,Paris,48.5109,2.2034
"Burnet, David",25 July 1680,Rouen,49.433333,1.083333
"Burnet, David",26 July 1680,Rouen,49.433333,1.083333
"Burnet, David",4 August 1680,Amsterdam,52.35,4.916667
"Burnet, David",9 August 1680,Zealand,55.5608,9.5841
"Burnet, David",11 August 1680,Middleburg,-,-
"Burnet, David",17 August 1680,Rotterdam,51.916667,4.5
"Burnet, David",27 September 1680,"Gordon Castle, alias Bogue",57.3723,-3.0514
"Burnet, David",26 December 1680,Elgin,57.65,-3.333333
"Burnet, David",3 January 1681,Elgin,57.65,-3.333333
"Burnet, David",3 March 1681,Speyside,57.2758,-3.095
"Burnet, David",20 April 1681,Scotland,56.4907,4.2026
"Burnet, David",22 April 1681,Elgin,57.65,-3.333333
"Burnet, David",8 May 1681,Elgin,57.65,-3.333333
"Burnet, David",6 June 1681,Speyside,57.2758,-3.095
"Burnet, David",22 June 1681,Edinburgh,55.95,-3.2
"Burnet, David",15 August 1681,Aberdeen,57.133333,-2.1
"Burnet, David",24 September 1681,Aberdeen,57.133333,-2.1
"Burnet, David",16 October 1681,Aberdeen,57.133333,-2.1
"Burnet, David",18 October 1681,Aberdeen,57.133333,-2.1
"Burnet, David",9 December 1681,Edinburgh,55.95,-3.2
"Burnet, David",2 March 1683,Scotland,56.4907,4.2026
"Burnet, David",11 May 1683,Scotland,56.4907,4.2026
"Burnet, David",24 May 1683,Scotland,56.4907,4.2026
"Burnet, David",25 May 1683,Scotland,56.4907,4.2026
"Burnet, David",29 June 1683,Scotland,56.4907,4.2026
"Burnet, David",3 July 1683,Scotland,56.4907,4.2026
"Burnet, David",26 July 1683,Scotland,56.4907,4.2026
"Burnet, David",7 August 1683,Scotland,56.4907,4.2026
"Burnet, David",10 August 1683,Scotland,56.4907,4.2026
"Burnet, David",22 September 1683,Scotland,56.4907,4.2026
"Burnet, David",24 October 1683,Scotland,56.4907,4.2026
"Burnet, David",8 January 1684,Scotland,56.4907,4.2026
"Burnet, David",18 March 1684,Scotland,56.4907,4.2026
"Burnet, David",3 October 1684,Scotland,56.4907,4.2026
"Burnet, David",18 April 1685,Scotland,56.4907,4.2026
"Burnet, David",2 May 1685,Scotland,56.4907,4.2026
"Burnet, David",3 August 1685,Scotland,56.4907,4.2026
"Burnet, David",27 December 1686,Edinburgh,55.95,-3.2
"Burnet, David",8 January 1687,Edinburgh,55.95,-3.2
"Burnet, David",14 January 1687,Edinburgh,55.95,-3.2
"Burnet, David",20 January 1687,Edinburgh,55.95,-3.2
"Burnet, David",27 January 1687,Edinburgh,55.95,-3.2
"Burnet, David",10 February 1687,Edinburgh,55.95,-3.2
"Burnet, David",22 February 1687,Edinburgh,55.95,-3.2
"Burnet, David",24 February 1687,Edinburgh,55.95,-3.2
"Burnet, David",3 March 1687,Edinburgh,55.95,-3.2
"Burnet, David",11 March 1687,Edinburgh,55.95,-3.2
"Burnet, David",20 March 1687,Edinburgh,55.95,-3.2
"Burnet, David",22 March 1687,Edinburgh,55.95,-3.2
"Burnet, David",31 March 1687,Edinburgh,55.95,-3.2
"Burnet, David",11 April 1687,Edinburgh,55.95,-3.2
"Burnet, David",14 April 1687,Edinburgh,55.95,-3.2
"Burnet, David",15 April 1687,Inverness,57.466667,-4.233333
"Burnet, David",1 June 1687,Edinburgh,55.95,-3.2
"Burnet, David",28 June 1687,Edinburgh,55.95,-3.2
"Burnet, David",14 July 1687,Edinburgh,55.95,-3.2
"Burnet, David",26 July 1687,Edinburgh,55.95,-3.2
"Burnet, David",14 August 1687,Edinburgh,55.95,-3.2
"Burnet, David",23 August 1687,Edinburgh,55.95,-3.2
"Burnet, David",29 August 1687,Edinburgh,55.95,-3.2
"Burnet, David",1 September 1687,Edinburgh,55.95,-3.2
"Burnet, David",19 September 1687,Edinburgh,55.95,-3.2
"Burnet, David",4 October 1687,Edinburgh,55.95,-3.2
"Burnet, David",8 November 1687,Edinburgh,55.95,-3.2
"Burnet, David",22 November 1687,Edinburgh,55.95,-3.2
"Burnet, David",10 December 1687,Edinburgh,55.95,-3.2
"Burnet, David",11 January 1688,Scotland,56.4907,4.2026
"Burnet, David",26 January 1688,Scotland,56.4907,4.2026
"Burnet, David",8 February 1688,Scotland,56.4907,4.2026
"Burnet, David",24 February 1688,Scotland,56.4907,4.2026
